Job Title,Company Name,Location,Start Date,CTC (Annual),Experience,Apply By,Skills Required,Perks
Content Writer,WordsGuru Services,Work from home,Starts Immediately,"₹ 2,12,000 - 2,25,000                                

                        ₹ 2,12,000 - 2,25,000 /year",1 year(s),1 year(s) experience,"Blogging, Creative Writing, English Proficiency (Written)","Blogging, Creative Writing, English Proficiency (Written)"
Business Development Executive,Rixle Private Limited,"Pune, Maharashtra                                            (Hybrid)",Starts Immediately,"₹ 2,00,000 - 3,50,000                                

                        ₹ 2,00,000 - 3,50,000 /year",0 year(s),0 year(s) experience,"Lead Generation, Marketing, MS-Excel, Social Media Marketing, Cab/Transportation facility","Lead Generation, Marketing, MS-Excel, Social Media Marketing"
Process Associate (Claims),Genpact India Private Limited,Jaipur,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",0 year(s),0 year(s) experience,"Effective Communication, English Proficiency (Written), MS-Excel, 5 days a week","Effective Communication, English Proficiency (Written), MS-Excel"
Junior Marketing Associate,Genie Puzzles,Surat,Starts Immediately,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",0 year(s),0 year(s) experience,"Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing, Informal dress code","Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing"
Junior Data Entry Associate,Blockgyan,Meerut,Starts Immediately,"₹ 2,10,000 - 3,60,000                                

                        ₹ 2,10,000 - 3,60,000 /year",0 year(s),0 year(s) experience,"Data Analysis, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Informal dress code","Data Analysis, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office"
Associate Accountant,Fire Lite Solutions,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",0 year(s),0 year(s) experience,"Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Tally, Informal dress code, Free snacks & beverages","Accounting, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Tally"
Associate Recruiter,Bridgexcel Innovations,Gurgaon,Starts Immediately,"₹ 2,40,000 - 7,40,000                                

                        ₹ 2,40,000 - 7,40,000 /year",1 year(s),1 year(s) experience,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Recruitment","English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Recruitment"
Telecaller,Bridgexcel Innovations,Delhi,Starts Immediately,"₹ 3,00,000                                

                        ₹ 3,00,000 /year",0 year(s),0 year(s) experience,"English Proficiency (Spoken), English Proficiency (Written), Sales, Health Insurance","English Proficiency (Spoken), English Proficiency (Written), Sales"
Front Office Associate,Misaki Hotel Pvt. Ltd.,Manesar,Starts Immediately,"₹ 2,44,000 - 4,16,000                                

                        ₹ 2,44,000 - 4,16,000 /year",1 year(s),1 year(s) experience,"Effective Communication, Problem Solving","Effective Communication, Problem Solving"
Video Editor,Hala Design,Work from home,Starts Immediately,"₹ 3,00,000 - 4,80,000                                

                        ₹ 3,00,000 - 4,80,000 /year",1 year(s),1 year(s) experience,"Adobe After Effects, Adobe Premiere Pro, Blender 3D, Final Cut Pro","Adobe After Effects, Adobe Premiere Pro, Blender 3D, Final Cut Pro"
Customer Support Associate,Snab Solution,Coimbatore,Starts Immediately,"₹ 2,22,000 - 3,40,000                                

                        ₹ 2,22,000 - 3,40,000 /year",0 year(s),0 year(s) experience,"English Proficiency (Written), Lead Generation, Health Insurance, Life Insurance","English Proficiency (Written), Lead Generation"
Junior Search Engine Optimization (SEO) Executive,Dipti Chawla,Work from home,Starts Immediately,"₹ 2,25,000 - 3,75,000                                

                        ₹ 2,25,000 - 3,75,000 /year",1 year(s),1 year(s) experience,"Digital Marketing, English Proficiency (Written), Google AdWords, Search Engine Optimization (SEO), 5 days a week","Digital Marketing, English Proficiency (Written), Google AdWords, Search Engine Optimization (SEO)"
Inside Sales Consultant (Female Only),Chitranjali Yoga,Work from home,Starts Immediately,"₹ 3,00,000 - 4,70,000                                

                        ₹ 3,00,000 - 4,70,000 /year",1 year(s),1 year(s) experience,"Effective Communication, English Proficiency (Spoken), Marketing, Problem Solving, Sales","Effective Communication, English Proficiency (Spoken), Marketing, Problem Solving, Sales"
Digital Marketing Executive,Social Hathi India Private Limited,Pune,Starts Immediately,"₹ 2,00,000 - 4,50,000                                

                        ₹ 2,00,000 - 4,50,000 /year",0 year(s),0 year(s) experience,"Client Relationship Management (CRM), Digital Marketing, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-PowerPoint, Sales","Client Relationship Management (CRM), Digital Marketing, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-PowerPoint, Sales"
Technical Sales And Marketing,Senso Vision System,Bengaluru,Starts Immediately,"₹ 2,80,000 - 3,00,000                                

                        ₹ 2,80,000 - 3,00,000 /year",0 year(s),0 year(s) experience,"Effective Communication, Sales, Free snacks & beverages, Health Insurance","Effective Communication, Sales"
Graphic Designer & Video Editor,10XGrowthHack,Work from home,Starts Immediately,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",0 year(s),0 year(s) experience,"Design Thinking, Video Editing","Design Thinking, Video Editing"
Associate Graphic Designer,Black Diamond Creative Agency,Work from home,Starts Immediately,"₹ 2,50,000 - 3,00,000                                

                        ₹ 2,50,000 - 3,00,000 /year",1 year(s),1 year(s) experience,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro, UI & UX Design, 5 days a week","Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro, UI & UX Design"
Junior Video Editor,The Prime Men,"Thane, Navi Mumbai, Mumbai, Pune                                            (Hybrid)",Starts Immediately,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",1 year(s),1 year(s) experience,"Adobe After Effects, Adobe Photoshop, Adobe Premiere Pro, DaVinci Resolve, Final Cut Pro, Video Editing, Video Making, Informal dress code","Adobe After Effects, Adobe Photoshop, Adobe Premiere Pro, DaVinci Resolve, Final Cut Pro, Video Editing, Video Making"
Sales,Rentkar-Switch To Share,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Effective Communication, Certificate, Letter of recommendation, Job offer",Effective Communication
Full Stack Development,Rentkar-Switch To Share,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"Amazon Web Services (AWS), Express.js, JavaScript, MEAN, MERN, MongoDB, Next.js, Node.js, React, Redux, Certificate, Letter of recommendation, Job offer","Amazon Web Services (AWS), Express.js, JavaScript, MEAN, MERN, MongoDB, Next.js, Node.js, React, Redux"
DevOps Engineer,Techdome Solutions Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Ansible, CI/CD, Docker, Git, GitHub, Jenkins, Kubernetes, Microsoft Azure, Certificate, Flexible work hours, Informal dress code, 5 days a week, Job offer","Ansible, CI/CD, Docker, Git, GitHub, Jenkins, Kubernetes, Microsoft Azure"
Video Editing/Making,Techdome Solutions Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Final Cut Pro, Video Editing, Video Making, Certificate, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer","Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Final Cut Pro, Video Editing, Video Making"
Web Development,Circle Health,N/A,Starts immediatelyImmediately,N/A,N/A,3 Months,"JavaScript, Node.js, React, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer","JavaScript, Node.js, React"
Digital Marketing,Techdome Solutions Private Limited,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Written), Facebook Ads, Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Flexible work hours, Informal dress code, 5 days a week, Job offer","Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Written), Facebook Ads, Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing"
Management Trainee,HireDesigners,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Effective Communication, MS-Office, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Job offer","Effective Communication, MS-Office"
Graphic Design,Educase India,N/A,Starts immediatelyImmediately,N/A,N/A,6 Months,"Adobe Illustrator, Adobe Photoshop, Certificate, Informal dress code, Job offer","Adobe Illustrator, Adobe Photoshop"
